ID,age,age_range,gender,education,AGR_raw,CON_raw,EXT_raw,NEU_raw,OPE_raw,educ,ethnic,region,clin_status,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5
200001,47,40 yo or older,female,3,18,16,22,16,19,some_college,white,south,typ,very_inaccurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_accurate,slightly_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,very_inaccurate,very_accurate,very_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate
200002,33,25 to 39 yo,female,3,10,20,20,25,20,some_college,white,northeast,typ,very_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,very_inaccurate,very_accurate,very_inaccurate,very_accurate,very_accurate,very_inaccurate
200003,20,19 to 24 yo,male,3,21,25,20,22,28,some_college,white,midwest,typ,moderately_accurate,moderately_accurate,moderately_accurate,very_inaccurate,moderately_accurate,very_accurate,moderately_accurate,moderately_inaccurate,very_accurate,very_accurate,slightly_accurate,slightly_accurate,very_accurate,slightly_inaccurate,slightly_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_accurate,slightly_accurate,very_accurate,very_accurate,very_accurate,very_accurate,slightly_accurate
200004,19,19 to 24 yo,male,3,11,20,18,16,18,some_college,hispanic,south,typ,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,very_inaccurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,slightly_inaccurate,slightly_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,very_accurate,moderately_inaccurate,slightly_inaccurate,very_accurate,very_inaccurate
200005,32,25 to 39 yo,female,3,28,19,19,10,20,some_college,hispanic,south,clin,moderately_accurate,very_accurate,very_accurate,very_accurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_accurate,very_inaccurate,slightly_accurate,very_inaccurate,very_inaccurate,moderately_accurate,very_accurate,very_accurate,very_inaccurate,moderately_inaccurate,slightly_accurate,very_inaccurate,moderately_inaccurate,very_accurate,very_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate
200006,29,25 to 39 yo,male,3,19,13,20,13,18,some_college,other,midwest,typ,moderately_accurate,slightly_accurate,slightly_inaccurate,slightly_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,slightly_inaccurate,moderately_inaccurate,very_accurate,slightly_accurate,slightly_accurate,slightly_accurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,very_inaccurate,slightly_accurate,moderately_inaccurate,very_accurate,very_inaccurate,slightly_accurate,very_accurate,very_inaccurate
200007,37,25 to 39 yo,female,5,23,20,19,20,18,BA_plus,white,midwest,clin,moderately_inaccurate,moderately_accurate,very_accurate,moderately_accurate,moderately_accurate,slightly_accurate,slightly_accurate,very_accurate,moderately_inaccurate,slightly_accurate,slightly_inaccurate,very_accurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,moderately_accurate,very_accurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,very_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate
200008,21,19 to 24 yo,female,3,16,20,17,13,22,some_college,other,west,typ,moderately_inaccurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,slightly_accurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,moderately_accurate,slightly_accurate,moderately_accurate,slightly_accurate
200009,32,25 to 39 yo,male,4,25,18,18,5,16,BA_plus,hispanic,northeast,typ,very_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,very_accurate,moderately_accurate,moderately_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_accurate,very_accurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,very_accurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,very_inaccurate
200010,45,40 yo or older,male,4,20,19,20,15,18,BA_plus,other,midwest,typ,moderately_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,slightly_accurate,slightly_accurate,slightly_accurate,slightly_accurate,very_accurate,moderately_inaccurate,moderately_accurate,slightly_inaccurate,slightly_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_inaccurate,slightly_accurate,moderately_accurate,slightly_inaccurate
200011,26,25 to 39 yo,male,2,25,19,15,23,21,HS_grad,hispanic,south,typ,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_accurate,very_accurate,moderately_inaccurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,slightly_accurate,moderately_accurate,very_accurate,moderately_accurate,very_accurate,very_inaccurate,moderately_accurate,moderately_inaccurate,slightly_accurate,very_accurate,slightly_accurate
200012,39,25 to 39 yo,female,3,26,18,18,12,17,some_college,white,south,clin,moderately_inaccurate,very_accurate,very_accurate,very_accurate,very_accurate,slightly_accurate,very_accurate,very_accurate,very_inaccurate,very_inaccurate,moderately_inaccurate,moderately_inaccurate,slightly_accurate,moderately_accurate,moderately_accurate,very_inaccurate,slightly_accurate,moderately_inaccurate,slightly_inaccurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,slightly_accurate,slightly_accurate,moderately_inaccurate
200013,26,25 to 39 yo,female,5,24,18,23,15,22,BA_plus,white,northeast,clin,very_inaccurate,very_accurate,very_accurate,very_accurate,moderately_accurate,moderately_accurate,slightly_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,moderately_accurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_accurate,moderately_inaccurate,slightly_inaccurate,moderately_accurate,slightly_accurate,very_inaccurate,very_accurate,slightly_inaccurate,moderately_accurate,very_accurate,moderately_inaccurate
200014,30,25 to 39 yo,male,3,26,18,18,14,18,some_college,hispanic,south,typ,slightly_inaccurate,very_accurate,very_accurate,very_accurate,moderately_accurate,moderately_accurate,moderately_accurate,moderately_accurate,very_inaccurate,moderately_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_accurate,very_accurate,slightly_accurate,slightly_accurate,slightly_inaccurate,moderately_inaccurate,very_inaccurate,very_accurate,very_inaccurate,moderately_accurate,moderately_accurate,very_inaccurate
200015,32,25 to 39 yo,male,4,19,15,18,7,19,BA_plus,hispanic,south,clin,slightly_inaccurate,slightly_accurate,moderately_accurate,moderately_inaccurate,moderately_accurate,moderately_accurate,moderately_inaccurate,moderately_accurate,moderately_inaccurate,very_inaccurate,slightly_inaccurate,moderately_inaccurate,slightly_accurate,slightly_accurate,moderately_accurate,moderately_inaccurate,moderately_inaccurate,very_inaccurate,very_inaccurate,very_inaccurate,moderately_accurate,moderately_inaccurate,very_accurate,moderately_accurate,very_inaccurate
